Ensemble Type,RMSE,MAPE,Models used,Training Time (s)
Averaging,5013.15,0.2243,KNN + DecisionTree + SVR + LightGBM + XGBoost,1.33
Averaging,4971.07,0.225,KNN + LightGBM + GBM,1.09
Averaging,5107.1,0.2255,DecisionTree + SVR + LightGBM,0.29
Averaging,5014.0,0.2256,KNN + DecisionTree + SVR + RandomForest + GBM,1.31
Averaging,5030.46,0.2257,KNN + DecisionTree + SVR + LightGBM + GBM,1.27
Averaging,4988.35,0.2257,KNN + DecisionTree + RandomForest + XGBoost,1.13
Averaging,5041.27,0.2265,KNN + DecisionTree + SVR + LightGBM + RandomForest,1.45
Averaging,5015.04,0.2265,KNN + DecisionTree + LightGBM + XGBoost,1.11
Averaging,5007.77,0.2265,KNN + LightGBM + RandomForest,1.18
Averaging,5104.24,0.227,KNN + SVR + XGBoost,1.35
Averaging,5029.53,0.2278,KNN + DecisionTree + LightGBM + GBM,1.14
Averaging,5015.98,0.2278,KNN + DecisionTree + RandomForest + GBM,1.13
Averaging,5045.08,0.2289,KNN + DecisionTree + LightGBM + RandomForest,1.07
Averaging,5112.09,0.2296,KNN + DecisionTree + SVR + XGBoost,1.32
Averaging,5133.21,0.2299,KNN + SVR + GBM,1.35
Stacking,5190.8,0.2301,KNN + DecisionTree + SVR,22.76
Averaging,5136.53,0.2313,KNN + DecisionTree + SVR + GBM,1.25
Averaging,5178.34,0.2313,KNN + SVR + RandomForest,1.32
Averaging,5205.63,0.2328,KNN + SVR + LightGBM,1.23
Averaging,5165.72,0.2329,KNN + DecisionTree + SVR + RandomForest,1.3
Averaging,5185.3,0.2333,KNN + DecisionTree + SVR + LightGBM,1.26
Averaging,5157.46,0.2349,KNN + DecisionTree + XGBoost,1.13
Averaging,5166.33,0.2366,KNN + DecisionTree + GBM,1.07
Averaging,5232.11,0.2393,KNN + DecisionTree + RandomForest,1.17
Averaging,5245.83,0.2394,KNN + DecisionTree + LightGBM,1.1
Averaging,5423.63,0.2448,KNN + DecisionTree + SVR,1.56
