,City,Town,Neighborhood,Apartment Type,House Type,House Age,House Size,Room Count,Floor,Furniture,Bathroom Count,Hand,Heater Type,Heater Fuel,Price
69,İstanbul,Beşiktaş,Levazım,Residence,Residence,Sıfır,325 m2,5 + 1,17. Kat,False,4.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,260000
70,İstanbul,Sarıyer,Tarabya,Villa,Villa,6,1.200 m2,8 + 2,,False,6.0,İkinci El,Kombi,,2650000
71,İstanbul,Sarıyer,Tarabya,Yalı Dairesi,Yalı Dairesi,40,500 m2,5 + 1,3. Kat,False,2.0,İkinci El,Merkezi,,550000
72,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,Sıfır,355 m2,5 + 1,21 ve üzeri,False,4.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,315000
73,İstanbul,Beşiktaş,Akat,Daire,Daire,31,180 m2,3 + 1,5. Kat,,2.0,İkinci El,Merkezi,,129000
74,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,Sıfır,346 m2,5 + 1,15. Kat,False,4.0,Sıfır,Merkezi (Pay Ölçer),,285000
75,İstanbul,Sarıyer,İstinye,Yalı Dairesi,Yalı Dairesi,40,200 m2,3 + 1,Bahçe Katı,True,3.0,İkinci El,Kombi,Doğalgaz,185000
76,İstanbul,Şişli,Harbiye,Residence,Residence,15,165 m2,2 + 1,18. Kat,True,3.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,210000
77,İstanbul,Beşiktaş,Levazım,Residence,Residence,10,190 m2,2 + 1,7. Kat,False,2.0,İkinci El,VRV,Doğalgaz,190000
78,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,Sıfır,221 m2,3 + 1,19. Kat,False,2.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,220000
79,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,Sıfır,360 m2,4 + 1,21 ve üzeri,False,3.0,,Merkezi (Pay Ölçer),Doğalgaz,295000
80,İstanbul,Şişli,Esentepe,Residence,Residence,2,138 m2,2 + 1,2. Kat,True,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,113000
81,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,Sıfır,349 m2,4 + 1,14. Kat,False,4.0,Sıfır,VRV,Doğalgaz,300000
82,İstanbul,Beşiktaş,Levazım,Residence,Residence,10,190 m2,2 + 1,7. Kat,True,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,255000
83,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,Sıfır,346 m2,5 + 1,16. Kat,False,4.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,285000
84,İstanbul,Beşiktaş,Dikilitaş,Residence,Residence,11,240 m2,4 + 1,21 ve üzeri,False,4.0,İkinci El,Merkezi,,120000
85,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,Sıfır,242 m2,3 + 1,17. Kat,False,3.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,241000
86,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,Sıfır,242 m2,3 + 1,21 ve üzeri,False,3.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,185000
87,İstanbul,Beşiktaş,Nisbetiye,Daire,Daire,Sıfır,650 m2,7 + 1,21 ve üzeri,False,6.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,650000
88,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,Sıfır,242 m2,3 + 1,21 ve üzeri,False,2.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,320000
89,İstanbul,Beşiktaş,Akat,Daire,Daire,30,240 m2,4 + 1,8. Kat,True,3.0,İkinci El,Merkezi,Doğalgaz,225000
90,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,Sıfır,384 m2,5 + 1,21 ve üzeri,False,4.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,340000
91,Ankara,Çankaya,Çukurambar,Residence,Residence,Sıfır,85 m2,1 + 1,3. Kat,,1.0,Sıfır,Fancoil Ünitesi,,35000
92,Ankara,Çankaya,Çukurambar,Residence,Residence,Sıfır,85 m2,1 + 1,3. Kat,False,1.0,Sıfır,Fancoil Ünitesi,Doğalgaz,35000
93,Ankara,Çankaya,Yukarı Dikmen,Daire,Daire,10,60 m2,1 + 1,3. Kat,True,1.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,20500
94,İstanbul,Şişli,Mecidiyeköy,Daire,Daire,20,90 m2,2 + 1,Ara Kat,False,1.0,İkinci El,Kombi,Doğalgaz,17000
95,İstanbul,Zeytinburnu,Seyitnizam,Daire,Daire,8,78 m2,1 + 1,Bahçe Katı,False,1.0,İkinci El,Kombi,Doğalgaz,9000
96,Muğla,Bodrum,Akyarlar,Yazlık,Yazlık,2,130 m2,1 + 1,Bahçe Katı,True,1.0,,Merkezi (Pay Ölçer),,150000
97,Ankara,Çankaya,Ata,Daire,Daire,25,105 m2,3 + 1,Kot 1,False,1.0,İkinci El,Kombi,Doğalgaz,16000
98,Tekirdağ,Çorlu,Hürriyet,Daire,Daire,Sıfır,55 m2,1 + 1,2. Kat,False,1.0,Sıfır,Kombi,Doğalgaz,16000
99,Tekirdağ,Süleymanpaşa,Ortacami,Daire,Daire,6,95 m2,2 + 1,1. Kat,,1.0,İkinci El,Kombi,Doğalgaz,15000
100,İstanbul,Ümraniye,Armağanevler,Daire,Daire,18,90 m2,2 + 1,4. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,14000
101,Ankara,Çankaya,Yaşamkent,Daire,Daire,Sıfır,55 m2,1 + 1,1. Kat,True,1.0,,Yerden Isıtma,,25000
102,İstanbul,Ümraniye,Çakmak,Daire,Daire,18,115 m2,2 + 1,Kot 2,False,1.0,İkinci El,Kombi,Doğalgaz,15000
103,İstanbul,Bahçelievler,Siyavuşpaşa,Daire,Daire,30,75 m2,1 + 1,Yüksek Giriş,True,1.0,İkinci El,Kombi,Doğalgaz,13000
104,İstanbul,Avcılar,Gümüşpala,Daire,Daire,24,115 m2,2 + 1,Ara Kat,False,1.0,İkinci El,Kombi,Doğalgaz,10000
105,İstanbul,Avcılar,Ambarlı,Daire,Daire,12,95 m2,2 + 1,Giriş Katı,True,1.0,İkinci El,Kombi,Doğalgaz,12000
106,Edirne,Merkez,Şükrüpaşa,Daire,Daire,7,55 m2,2 + 1,Zemin,True,1.0,İkinci El,Kombi,Doğalgaz,12000
107,İstanbul,Esenyurt,Gökevler,Daire,Daire,1,75 m2,1 + 1,8. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,10500
108,Tokat,Merkez,Altıyüzevler,Daire,Daire,6,155 m2,3 + 1,4. Kat,False,2.0,İkinci El,Kombi,Doğalgaz,18500
109,Adana,Çukurova,Belediye Evleri,Daire,Daire,15,200 m2,3 + 2,3. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,180000
110,Ankara,Çankaya,Güvenevler,Daire,Daire,25,65 m2,1 + 1,Giriş Katı,True,1.0,İkinci El,Merkezi,Doğalgaz,27000
111,İstanbul,Şişli,Meşrutiyet,Daire,Daire,40,110 m2,2 + 1,5. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,35000
112,Ankara,Çankaya,Ayrancı,Daire,Daire,30,125 m2,3 + 1,4. Kat,False,1.0,İkinci El,Merkezi,Doğalgaz,21000
113,İstanbul,Kadıköy,Caferağa,Daire,Daire,26,120 m2,3 + 1,3. Kat,True,1.0,İkinci El,Merkezi,Doğalgaz,42000
114,İzmir,Karabağlar,Bahçelievler,Daire,Daire,2,60 m2,1 + 1,Yüksek Giriş,False,1.0,İkinci El,Kombi,Doğalgaz,17000
115,İstanbul,Esenler,Birlik,Daire,Daire,2,70 m2,2 + 1,6. Kat,True,1.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,199
116,İstanbul,Fatih,Seyyid Ömer,Daire,Daire,30,65 m2,1 + 1,Yüksek Giriş,False,1.0,İkinci El,Kombi,Doğalgaz,13000
117,İstanbul,Fatih,Seyyid Ömer,Daire,Daire,39,145 m2,4 + 1,4. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,20000
118,İstanbul,Sarıyer,Pınar,Daire,Daire,13,200 m2,3 + 1,3. Kat,False,3.0,İkinci El,Kombi,Doğalgaz,160000
119,Ankara,Çankaya,100. Yıl,Daire,Daire,45,80 m2,2 + 1,2. Kat,False,1.0,İkinci El,Merkezi,Doğalgaz,23000
120,Ankara,Çankaya,Kızılay,Daire,Daire,30,60 m2,2 + 1,6. Kat,,1.0,,Merkezi,,10000
121,İstanbul,Beşiktaş,Dikilitaş,Daire,Daire,27,65 m2,1 + 1,Yüksek Giriş,False,1.0,İkinci El,Kombi,Doğalgaz,19000
122,İstanbul,Kartal,Hürriyet,Daire,Daire,5,110 m2,2 + 1,3. Kat,True,1.0,İkinci El,Kombi,,26500
123,Ankara,Altındağ,Hacettepe,Daire,Daire,5,35 m2,1 + 1,Ara Kat,True,1.0,İkinci El,Kombi,Doğalgaz,9500
124,İstanbul,Beylikdüzü,Büyükşehir,Daire,Daire,10,200 m2,3 + 1,7. Kat,True,2.0,İkinci El,Kombi,Doğalgaz,30000
125,Adana,Çukurova,Beyazevler,Daire,Daire,15,45 m2,1 + 1,2. Kat,True,1.0,İkinci El,Klima,Elektrik,9500
126,İstanbul,Avcılar,Cihangir,Daire,Daire,25,185 m2,4 + 1,En Üst Kat,,2.0,,Kombi,,18000
127,Ankara,Yenimahalle,Ragıp Tüzün,Daire,Daire,17,170 m2,3 + 1,Ara Kat,True,2.0,İkinci El,Kombi,Doğalgaz,22900
128,İstanbul,Beyoğlu,Kamer Hatun,Daire,Daire,50,150 m2,3 + 1,3. Kat,True,1.0,İkinci El,Kombi,Doğalgaz,28000
129,Ankara,Etimesgut,Şeyh Şamil,Daire,Daire,27,60 m2,1 + 1,3. Kat,True,1.0,İkinci El,Kombi,Doğalgaz,12500
130,Ankara,Etimesgut,Altay,Daire,Daire,1,150 m2,4 + 1,Zemin,,2.0,,Merkezi (Pay Ölçer),,28500
131,Ankara,Keçiören,Yayla,Daire,Daire,10,130 m2,3 + 1,1. Kat,False,1.0,,Kombi,Doğalgaz,14500
132,Bursa,Osmangazi,Dikkaldırım,Daire,Daire,30,180 m2,3 + 1,1. Kat,False,2.0,İkinci El,Kombi,Doğalgaz,20000
133,Ankara,Çankaya,Aşağı Öveçler,Daire,Daire,30,145 m2,3 + 1,2. Kat,False,2.0,İkinci El,Kombi,Doğalgaz,28000
