,House Type,House Age,Furniture,Bathroom Count,Hand,Heater Type,Heater Fuel,Price,Rooms,Living Rooms,House Size m2,Floor Level,Neighborhood Grouped,Town Grouped,City Grouped
7767,Daire,11,True,1.0,İkinci El,Kombi,Bilinmiyor,17100,2,1,90.0,0.5,Other,İstanbul - Çekmeköy,İstanbul
7770,Villa,0,True,4.0,İkinci El,Yerden Isıtma,Bilinmiyor,2500000,4,1,400.0,2.5,Other,Muğla - Bodrum,Muğla
7771,Daire,6,True,2.0,İkinci El,Klima,Bilinmiyor,35000,3,1,165.0,0.0,Other,Aydın - Kuşadası,Aydın
7772,Daire,21,True,1.0,İkinci El,Klima,Bilinmiyor,120000,3,1,180.0,6.0,Other,Adana - Seyhan,Adana
7773,Daire,10,False,1.0,İkinci El,Klima,Elektrik,10000,3,1,130.0,2.5,Other,Other,Antalya
7774,Daire,5,True,2.0,İkinci El,Klima,Doğalgaz,33000,3,1,250.0,20.0,Other,Hatay - Arsuz,Hatay
7775,Daire,10,False,2.0,İkinci El,Merkezi,Doğalgaz,20000,4,1,220.0,4.0,Other,Mersin(İçel) - Tarsus,Mersin(İçel)
7776,Villa,25,True,2.0,İkinci El,Klima,Elektrik,480000,4,1,200.0,2.5,Other,İzmir - Çeşme,İzmir
7777,Daire,0,True,1.0,İkinci El,Yerden Isıtma,Bilinmiyor,32500,2,1,100.0,1.0,Other,İzmir - Bornova,İzmir
7778,Daire,15,False,2.0,İkinci El,Kombi,Doğalgaz,15000,4,1,175.0,8.0,Other,Çorum - Merkez,Çorum
7779,Müstakil Ev,35,False,1.0,İkinci El,Klima,Elektrik,150000,3,1,120.0,2.5,Other,Balıkesir - Burhaniye,Balıkesir
7781,Daire,5,True,1.0,İkinci El,Kombi,Doğalgaz,7500,1,1,72.0,2.0,Other,Düzce - Merkez,Düzce
7782,Daire,35,True,1.0,İkinci El,Kombi,Bilinmiyor,27000,2,1,105.0,6.0,Other,İstanbul - Zeytinburnu,İstanbul
7783,Daire,7,True,1.0,İkinci El,Klima,Elektrik,1750,1,1,45.0,0.5,Other,Other,Antalya
7784,Daire,30,True,1.0,İkinci El,Kombi,Doğalgaz,7000,1,1,50.0,2.5,Other,Bursa - Osmangazi,Bursa
7785,Daire,24,True,1.0,İkinci El,Klima,Elektrik,13950,3,1,135.0,20.0,Other,Hatay - İskenderun,Hatay
7786,Daire,40,False,1.0,İkinci El,Merkezi,Doğalgaz,50000,3,1,120.0,2.5,Other,İstanbul - Beyoğlu,İstanbul
7787,Yazlık,4,True,2.0,Sıfır,Klima,Elektrik,700000,3,1,325.0,1.5,İzmir - Çeşme - Alaçatı,İzmir - Çeşme,İzmir
7788,Villa,4,True,4.0,İkinci El,Kombi,Doğalgaz,205000,7,2,750.0,2.5,Other,İstanbul - Beykoz,İstanbul
7789,Daire,28,False,1.0,İkinci El,Kombi,Doğalgaz,21000,3,1,120.0,1.0,Other,İstanbul - Ataşehir,İstanbul
7790,Daire,2,False,1.0,İkinci El,Klima,Doğalgaz,135000,3,1,150.0,4.0,Other,Adana - Seyhan,Adana
7791,Daire,25,False,1.0,İkinci El,Kombi,Doğalgaz,15000,3,1,125.0,2.0,Other,İzmir - Buca,İzmir
7792,Daire,10,True,1.0,İkinci El,Kombi,Doğalgaz,20000,1,1,70.0,3.0,Other,İzmir - Gaziemir,İzmir
7793,Daire,0,True,1.0,Sıfır,Kombi,Doğalgaz,20000,1,0,55.0,15.0,Other,İzmir - Bornova,İzmir
7794,Daire,0,True,1.0,Sıfır,Kombi,Doğalgaz,21000,2,1,75.0,20.0,Other,İzmir - Buca,İzmir
7795,Daire,4,True,1.0,İkinci El,Kombi,Doğalgaz,10000,1,1,55.0,3.0,Other,Denizli - Pamukkale,Denizli
7797,Müstakil Ev,1,True,4.0,Sıfır,Kombi,Bilinmiyor,10000,4,1,310.0,2.5,Other,Other,Sakarya
7798,Yazlık,15,True,1.0,İkinci El,Klima,Bilinmiyor,2750,1,1,150.0,20.0,Other,Other,Balıkesir
7799,Daire,3,True,1.0,İkinci El,Klima,Elektrik,8000,1,1,50.0,11.0,Adana - Sarıçam - Gültepe,Adana - Sarıçam,Adana
7800,Daire,0,False,1.0,Sıfır,Klima,Elektrik,13000,2,1,90.0,1.0,Other,Antalya - Kepez,Antalya
